S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.08566	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.16569	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.20004	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.15664	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.16246	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.1487	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.10095	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.14118	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.15524	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.11138	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.16857	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
 Fichier donnEes	 Tps de rEsolution 	 Best solution
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.11601	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.15866	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.21668	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.10102	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.16393	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.16557	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
 Fichier donnEes	 Tps de rEsolution 	 Best solution
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.0943	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Test.txt	1.10166	4
 Fichier donnEes	 Tps de rEsolution 	 Best solution
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Inst1.txt	1.06675	444
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Inst1.txt	1.28571	444
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Inst1.txt	0.928259	444
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Inst1.txt	4.6482	444
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Inst1.txt	35.6825	444
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Inst1.txt	33.3682	444
 Fichier donnEes	 Tps de rEsolution 	 Best solution
S:/Polytech/DI4/S8/Optimistion-Discrete/Code Opti Tournees Touristiques + Donnees-20240315/Format Etudiant Public/Inst1.txt	34.4743	444
